season,team,offensive_plays,offensive_epa_total,offensive_epa_per_play,offensive_success_rate,defensive_plays,defensive_epa_allowed_total,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_efficiency_rank,overall_rank,total_cap_number,total_cash_paid,total_base_salary,total_guaranteed_salary,player_contract_count,cap_cost_rank,cash_paid_rank,performance_score,cost_score,surplus_rank_gap,surplus_tier,surplus_value_rank
2023,PIT,1347,-100.75538745172793,-0.0755854369480329,0.4073518379594898,1404,-79.21024797395475,-0.0565383640071054,24.0,9.0,33.0,16.5,205.266216,225.514286,128.537434,40.4075,79,6.0,18.0,16.5,27.0,-10.5,Major underperformance,28.0
2023,LAC,1432,-80.0842807287849,-0.0561994952482701,0.4084210526315789,1432,-22.162345383179517,-0.0155853343060334,22.0,23.0,45.0,27.5,191.339371,222.983603,100.336247,22.092282,79,16.0,20.0,5.5,17.0,-11.5,Major underperformance,29.0
2023,ATL,1424,-123.02435513967156,-0.0869430071658456,0.4035335689045936,1423,-61.994324985413904,-0.0438122438059462,27.0,13.0,40.0,24.5,197.951646,245.910299,111.181644,81.105314,82,10.0,13.0,8.5,23.0,-14.5,Major underperformance,30.0
2023,DEN,1364,-61.11042981356649,-0.0451332568785572,0.4128508124076809,1405,6.472386828790582,0.004629747373956,20.0,25.0,45.0,27.5,199.222631,225.292992,136.555275,62.688641,79,9.0,19.0,5.5,24.0,-18.5,Major underperformance,31.0
2023,CIN,1379,-7.2443254521056595,-0.0052801205919137,0.4293002915451895,1369,11.975096556948415,0.0088116972457309,12.0,26.0,38.0,21.0,211.511617,257.742476,125.777729,34.949702,74,2.0,7.0,12.0,31.0,-19.0,Major underperformance,32.0
2024,DEN,1389,35.655093121446036,0.0257996332282532,0.4696092619392185,1449,-104.25770022519012,-0.0724514942496109,12.0,2.0,14.0,4.5,164.770117,228.123601,97.537741,31.56216,74,32.0,27.0,28.5,1.0,27.5,Strong surplus value,1.0
2024,BUF,1378,185.43514139684905,0.1357504695438133,0.5,1385,-4.977879527254021,-0.0036071590777203,3.0,11.0,14.0,4.5,181.498105,229.671172,76.950532,55.850647,75,27.0,25.0,28.5,6.0,22.5,Strong surplus value,2.0
2024,GB,1364,98.03939324840243,0.0722471578838632,0.4848931466470155,1377,-53.96616859667329,-0.0394778117020287,8.0,5.0,13.0,3.0,185.56055,264.351197,90.193329,30.314411,75,24.0,15.0,30.0,9.0,21.0,Strong surplus value,3.5
2024,PHI,1441,114.51184009703206,0.0800782098580643,0.4734265734265734,1312,-75.5901372061655,-0.057879124966436,7.0,3.0,10.0,2.0,187.052017,314.877238,72.773714,37.07453,82,23.0,2.0,31.0,10.0,21.0,Strong surplus value,3.5
2024,DET,1425,197.48338412767103,0.1395642290654919,0.5314487632508834,1386,-52.88009056001203,-0.0383466936620826,2.0,6.0,8.0,1.0,194.889056,301.795651,2256.557842,44.257657,86,20.0,4.0,32.0,13.0,19.0,Strong surplus value,5.0
