season,player_name,team,position_final,cap_number,production_score,total_epa,production_rank_position,cost_rank_position,player_surplus_gap,player_value_tier
2023,Josh Allen,BUF,QB,18.636281,276.3347265987167,146.07472659871672,1.0,11.0,10.0,Strong bargain
2021,Joe Burrow,CIN,QB,8.225035,188.38153431457368,103.12153431457368,7.0,17.0,10.0,Strong bargain
2023,Aidan O'Connell,LV,QB,0.877345,7.813756943860127,-21.916243056139873,28.0,37.0,9.0,Positive value
2023,Joe Flacco,CLE,QB,1.175,23.23546686228729,-1.0245331377127087,25.0,34.0,9.0,Positive value
2025,Joe Flacco,CIN,QB,2.862271,58.384254242535015,21.89425424253501,24.0,33.0,9.0,Positive value
2022,Dallas Goedert,PHI,TE,3.721732,103.03798707281716,45.187987072817165,5.0,14.0,9.0,Positive value
2023,Evan Engram,JAX,TE,5.0,98.89534228767052,10.245342287670528,7.0,16.0,9.0,Positive value
2023,Tucker Kraft,GB,TE,1.006897,49.27481282295084,17.774812822950842,25.0,34.0,9.0,Positive value
2021,George Kittle,SF,TE,5.191928,108.56331715524844,26.31331715524842,5.0,14.0,9.0,Positive value
2024,Jalen Hurts,PHI,QB,13.5588,200.18994640094215,81.15994640094215,7.0,16.0,9.0,Positive value
2024,Aidan O'Connell,LV,QB,0.925678,20.406929319244895,-5.713070680755106,31.0,39.0,8.0,Positive value
2024,Pat Freiermuth,PIT,TE,3.636033,105.80123255502625,35.90123255502623,7.0,15.0,8.0,Positive value
2025,Tyler Shough,NO,QB,1.964496,45.47311623842555,3.083116238425554,27.0,35.0,8.0,Positive value
2025,Brock Purdy,SF,QB,9.119253,134.59202882330524,79.32202882330523,13.0,21.0,8.0,Positive value
2025,Josh Allen,BUF,QB,36.335281,237.72890468693217,110.09890468693212,2.0,9.0,7.0,Positive value
2025,Trevor Lawrence,JAX,QB,17.0,172.97147994854305,64.20147994854305,8.0,15.0,7.0,Positive value
2024,Daniel Jones,NYG,QB,0.0,4.562406705650901,-30.1375932943491,35.0,41.0,6.0,Positive value
